model_id,strategy,family,n_samples,consensus_cer,consensus_field_accuracy,average_raw_confidence,total_evaluated_fields,total_sample_records,denominator_status,evidence_status,source_artifact,source_sha256,notes
models/gemini-2.0-flash,warp_all_d003_r30_s10_std3,grid_warp,4,0.078936157263708839,0.75523480382191499,0.93166390393665555,4919,19672,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std3,grid_warp,5,0.07078084109305581,0.77292132547265702,0.93267498468090504,4919,24590,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std15,grid_warp,1,0.082818444681174858,0.74806832045546967,1,4918,4918,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std15,grid_warp,2,0.083774572454506729,0.73775157552348036,0.96106208812845317,4919,9836,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std15,grid_warp,3,0.068163836650234316,0.77312461882496442,0.95920840971001275,4919,14754,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std15,grid_warp,4,0.069898362850709023,0.77129497865419805,0.95432843772025866,4919,19673,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std15,grid_warp,5,0.065881565333820225,0.78003659280341531,0.95436813410390509,4919,24591,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,1,0.086078801534620303,0.74333943461460239,1,4917,4917,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,2,0.086482867749984788,0.73490546859117711,0.95879577384945314,4919,9836,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,3,0.07084170166149352,0.7745476722911161,0.95625078091359939,4919,14754,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,4,0.07084170166149352,0.77210815206342753,0.95192167371437553,4919,19673,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,5,0.066104336664527363,0.78537880334898913,0.95142652359852686,4897,24479,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,1,0.096250988984237118,0.72474080097580806,1,4919,4919,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,2,0.096190128415799409,0.7092905062004472,0.94918399474531734,4919,9837,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,3,0.076139198150514079,0.75955284552845526,0.94566052215407437,4920,14756,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,4,0.074618239338078721,0.76097560975609757,0.94027674078022305,4920,19674,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,5,0.070229007633587789,0.77243066884176181,0.94003494931230347,4904,24512,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
