doc_id,relative_filename,byte_size,sha256,source_role
41381_2421401574_0578-00256,41381_2421401574_0578-00256.jpg,1342140,2b7d14b4cb47a81d79861d65a50c8be5b6a6c1a473a00bd8522ce7d899ccf0bb,source_document_jpeg
41381_2421401574_0578-01766,41381_2421401574_0578-01766.jpg,1348014,efb453316af785c7615027c89d6e9fad5a7e1de91fc33f5619649320e4f7a9de,source_document_jpeg
41381_2421401574_0578-01845,41381_2421401574_0578-01845.jpg,1512233,5aa5d6efcf6ec544c115fb03dbafc73a8501215466a6383cb92e49b4c59ebbbe,source_document_jpeg
41381_2421401574_0580-00438,41381_2421401574_0580-00438.jpg,1436348,3c4538981cbd63b1609d6e57b8f87524dfab55ef7408cb21cbd56cbc5244b12f,source_document_jpeg
41381_2421401574_0580-00587,41381_2421401574_0580-00587.jpg,1396530,a0587b86e3f5d52a0b8c443723ce7442611a7c5c29fec677da9bd10d387221cb,source_document_jpeg
41381_2421401574_0588-01369,41381_2421401574_0588-01369.jpg,1412777,7d00407f9b4be0b22297812bf34f11e49776ee9d1662ceb5b6f5413bee02ad08,source_document_jpeg
41381_2421401574_0589-01804,41381_2421401574_0589-01804.jpg,1438859,3576f53e5d394c704cd9756d5bb8d8cd79b35f6bcbd7290b07d79b0a4b6ec00c,source_document_jpeg
41381_2421401574_0594-00146,41381_2421401574_0594-00146.jpg,1325922,f4280b3a6dea549045ab6ee5439b4d6ed2c59875e0b199cb7f770f780653ccfd,source_document_jpeg
41381_2421401574_0594-01047,41381_2421401574_0594-01047.jpg,1446137,c5e3563c55d477845f5f785c4fd99c21f9b448b18bae3525fcce29703d5955f0,source_document_jpeg
41381_2421401574_0594-01414,41381_2421401574_0594-01414.jpg,1358201,0475441c0217d1456906c3d65878f2ad4fabc464edff55d97877d9e9b238c32f,source_document_jpeg
41381_2421401574_0595-01788,41381_2421401574_0595-01788.jpg,1373722,3870ab59a3bf100639d5cb955638655734403efc70324bb13339c64036b4cbda,source_document_jpeg
41381_2421401574_0600-01955,41381_2421401574_0600-01955.jpg,1324004,d9026c32b2acc33d108c611c246da7d784247ba8a5ef96c370b82c2aa115b8bb,source_document_jpeg
41381_2421401574_0601-00187,41381_2421401574_0601-00187.jpg,1499193,ee8f054d6aa946ac8a6c71ecf501f3aad7e802737cdac8b162b1fdf1ebee9d31,source_document_jpeg
